source_unit,lagos_variablename,datavalue_unit,Conversion_factor
ueq/L,Alkalinity,ueqL,1
mg/L,"Aluminum, dissolved",ugL,1000
PPB,"Atrazine, dissolved",ugL,1
mg/L,"Calcium, dissolved",mgL,1
mg/L,"Carbon, dissolved organic",mgL,1
mg/L,"Carbon, total organic",mgL,1
mg/L,"Chloride, dissolved",mgL,1
ug/L,Chlorophyll a,ugL,1
APHA Pt-Co,"Color, true",PCU,1
uS/cm,Conductivity,Umho_cm,1
mg/L,"Magnesium, dissolved",mgL,1
ppb,Microcystin,ugL,1
mg N/L,"Nitrogen, NH4",ugL,1000
mg N/L,"Nitrogen, nitrite (NO2)",ugL,1000
mg N/L,"Nitrogen, nitrite (NO2) + nitrate (NO3)",ugL,1000
mg/L,"Nitrogen, total",ugL,1000
MG/L,"Nitrogen, total Kjeldahl",ugL,1000
mg/L,"Oxygen, dissolved",mgL,1
Std. Units,"pH, field or closed",pH,1
ug/L,"Phosphorus, total",ugL,1
mg/L,Potassium,mgL,1
m,Secchi,m,1
mg/L,"Silica, dissolved",mgL,1
mg/L,Sodium,mgL,1
mg/L,"Solids, total suspended",mgL,1
mg/L,"Sulfate, dissolved",mgL,1
C,Temperature,degC,1
NTU,Turbidity,NTU,1
MPN,E. coli-MPN,MPN,1